cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
84439990,8443,160,0817800,01,SP,3422505,ITAPEVI,0
87083090,8708,160,0817800,01,SP,3413801,DIADEMA,1
87081000,8708,160,0817800,01,SP,3438709,PIRACICABA,1
29419099,2941,160,0817600,04,SP,3413801,DIADEMA,0
29215119,2921,160,0817600,04,SP,3450308,SAO PAULO,0
87083090,8708,160,0817600,04,RS,4300604,ALVORADA,0
85176241,8517,160,0817700,04,SP,3408405,CABREUVA,0
85412110,8541,160,0817700,04,SP,3443303,RIBEIRAO PIRES,0
85176262,8517,160,1017801,04,RS,4318705,SAO LEOPOLDO,0
87089990,8708,160,0817800,01,MG,3107406,BOM DESPACHO,1
84433234,8443,160,1017801,04,RS,4314902,PORTO ALEGRE,0
29412010,2941,160,0817600,04,MG,3170701,VARGINHA,0
85176294,8517,160,0817600,04,SP,3436505,PAULINIA,0
87082994,8708,160,0817800,01,SP,3456453,VARGEM GRANDE PAULISTA,1
85176299,8517,160,0917800,01,RJ,3304201,RESENDE,0
87089200,8708,160,0817800,01,MG,3138302,LEANDRO FERREIRA,0
87082999,8708,160,0817800,01,MG,3152501,POUSO ALEGRE,1
84439922,8443,160,0817700,04,SP,3452205,SOROCABA,1
87082999,8708,160,0817800,01,SP,3406003,BAURU,0
85414122,8541,160,0817800,01,SP,3400808,ALFREDO MARCONDES,1
85176277,8517,160,0817700,04,SP,3456206,VALINHOS,1
85176254,8517,160,0817800,01,MG,3159605,SANTA RITA DO SAPUCAI,0
87082999,8708,160,0817800,01,MG,3144805,NOVA LIMA,0
84439960,8443,160,0817600,04,RS,4314902,PORTO ALEGRE,0
90183929,9018,160,0817600,04,SP,3413108,CRAVINHOS,0
85412199,8541,160,0817800,01,MG,3132404,ITAJUBA,0
29156012,2915,160,0817800,01,SP,3405708,BARUERI,0
87083019,8708,160,0817800,01,SP,3456701,VINHEDO,0
85414122,8541,160,0817700,04,MG,3118601,CONTAGEM,0
29215133,2921,160,0927700,01,RS,4318705,SAO LEOPOLDO,0
87085019,8708,160,0817800,01,SP,3420509,INDAIATUBA,0
85171490,8517,160,0927800,01,SP,3450308,SAO PAULO,0
85414290,8541,160,0817600,04,SP,3401608,AMERICANA,0
29333929,2933,160,0717700,04,RJ,3304201,RESENDE,0
85176291,8517,160,0817800,01,RJ,3304904,SAO GONCALO,0
85411039,8541,160,0817700,04,SP,3409502,CAMPINAS,0
84433299,8443,160,0717600,01,RJ,3304201,RESENDE,0
84439932,8443,160,0817600,04,SP,3405708,BARUERI,0
87089100,8708,160,0717600,01,MG,3106705,BETIM,1
29412090,2941,160,0817800,01,SP,3413108,CRAVINHOS,1
87082999,8708,160,0817600,04,MG,3152501,POUSO ALEGRE,0
85413029,8541,160,1017801,04,RS,4314902,PORTO ALEGRE,0
87084090,8708,160,0817800,01,SP,3430607,MOGI DAS CRUZES,0
29153999,2915,160,1017700,01,RS,4304705,CARAZINHO,0
85171300,8517,160,0817600,04,SP,3409502,CAMPINAS,1
85414121,8541,160,1017700,01,RS,4316808,SANTA CRUZ DO SUL,0
85411029,8541,160,0817600,04,SP,3448906,SAO CARLOS,0
87088000,8708,160,0817600,04,SP,3426902,LIMEIRA,0
85176249,8517,160,0817600,04,MG,3130705,INDIANOPOLIS,0
29419079,2941,160,0817800,01,SP,3424709,JAGUARIUNA,0
29335340,2933,160,0817800,01,SP,3448708,SAO BERNARDO DO CAMPO,0
84439949,8443,160,0917500,07,SP,3425201,JARINU,0
85176234,8517,160,0927800,01,SP,3450308,SAO PAULO,0
85176291,8517,160,0817700,04,SP,3434401,OSASCO,0
85411029,8541,160,0817700,04,SP,3400808,ALFREDO MARCONDES,0
29333120,2933,160,0817800,01,SP,3425003,JANDIRA,0
90183910,9018,160,0817600,04,SP,3447809,SANTO ANDRE,0
90183929,9018,160,0927800,01,RS,4307005,ERECHIM,0
87089910,8708,160,0817800,01,SP,3427207,LORENA,0
84439929,8443,160,0817700,04,MG,3125101,EXTREMA,1
29339953,2933,160,0817600,04,SP,3447304,SANTANA DE PARNAIBA,0
85411029,8541,160,1017801,04,RS,4305108,CAXIAS DO SUL,1
84433237,8443,160,0617700,04,MG,3118601,CONTAGEM,0
29333989,2933,160,0817700,04,SP,3436505,PAULINIA,1
85414121,8541,160,0617700,04,MG,3125101,EXTREMA,0
87083090,8708,160,0817700,04,RS,4318705,SAO LEOPOLDO,0
84439939,8443,160,0817800,01,SP,3449904,SAO JOSE DOS CAMPOS,0
